,production,sales ,demand,population,gdp,disbursement,interest_rate,date
103,378.0,386.0,380.0,136.3,246475.295,151087.04,8.21,2018-08-01
104,386.0,369.0,395.0,136.4,253731.628,150962.04,8.17,2018-09-01
105,396.0,391.0,425.0,136.5,260987.961,150837.04,8.12,2018-10-01
106,691.0,673.0,702.0,136.7,265734.628,150712.04,8.08,2018-11-01
107,736.0,721.0,752.0,136.8,270481.295,150587.04,8.04,2018-12-01
108,791.0,771.0,764.0,136.9,275227.962,150337.0,8.0,2019-01-01
109,777.0,786.0,787.0,137.0,270061.292,150550.75,7.92,2019-02-01
110,445.0,434.0,343.0,137.1,264894.622,150764.5,7.83,2019-03-01
111,464.0,311.0,453.0,137.3,259727.952,150978.25,7.75,2019-04-01
112,369.0,195.0,354.0,137.4,253415.952,151192.0,7.67,2019-05-01
113,323.0,200.0,360.0,137.5,247103.952,151405.75,7.58,2019-06-01
114,360.0,256.0,310.0,137.6,240791.952,151619.5,7.5,2019-07-01
115,331.0,270.0,321.0,137.7,246430.619,151833.25,7.42,2019-08-01
116,333.0,260.0,315.0,137.8,252069.286,152047.0,7.33,2019-09-01
117,366.0,281.0,358.0,138.0,257707.953,152260.75,7.25,2019-10-01
118,771.0,531.0,750.0,138.1,265288.953,152474.5,7.17,2019-11-01
119,691.0,537.0,686.0,138.2,272869.953,152688.25,7.08,2019-12-01
120,675.0,514.0,686.0,138.3,280450.953,152902.0,7.0,2020-01-01
121,700.0,578.0,684.0,138.4,230779.653,156052.67,7.05,2020-02-01
122,419.0,500.0,486.0,138.5,181108.353,159203.33,7.1,2020-03-01
123,399.0,414.0,408.0,138.6,131437.053,162354.0,7.15,2020-04-01
124,425.0,405.0,405.0,138.8,162590.383,165504.67,7.2,2020-05-01
125,445.0,414.0,410.0,138.9,193743.713,168655.34,7.25,2020-06-01
126,356.0,336.0,386.0,139.0,224897.043,171806.0,7.3,2020-07-01
127,326.0,322.0,326.0,139.1,241515.373,174956.67,7.35,2020-08-01
128,388.0,423.0,388.0,139.2,258133.703,178107.34,7.4,2020-09-01
129,337.0,354.0,337.0,139.3,274752.033,181258.0,7.45,2020-10-01
130,731.0,717.0,784.0,139.4,293751.033,184408.67,7.5,2020-11-01
131,691.0,665.0,685.0,139.5,312750.033,187559.34,7.55,2020-12-01
132,821.0,809.0,810.0,139.6,331749.033,190710.0,7.6,2021-01-01
133,811.0,829.0,802.0,139.7,296221.433,192776.05,7.64,2021-02-01
134,467.0,511.0,524.0,139.8,260693.833,194842.1,7.68,2021-03-01
135,440.0,423.0,435.0,139.9,225166.0,196908.15,7.73,2021-04-01
136,489.0,439.0,428.0,140.0,231134.33,198974.19,7.77,2021-05-01
137,440.0,423.0,439.0,140.1,237102.66,201040.24,7.81,2021-06-01
138,388.0,382.0,400.0,140.2,243070.99,203106.29,7.85,2021-07-01
139,396.0,391.0,395.0,140.3,251071.99,205172.33,7.89,2021-08-01
140,406.0,420.0,415.0,140.4,259072.99,207238.38,7.93,2021-09-01
141,423.0,408.0,406.0,140.5,267073.99,209304.43,7.98,2021-10-01
142,830.0,843.0,858.0,140.6,290810.32,211370.47,8.02,2021-11-01
143,894.0,858.0,885.0,140.7,314546.65,213436.52,8.06,2021-12-01
144,825.0,823.0,835.0,140.8,338282.98,215502.57,8.1,2022-01-01
145,848.0,836.0,853.0,140.8,313161.38,217568.62,8.14,2022-02-01
146,531.0,514.0,625.0,140.9,288039.68,219634.66,8.18,2022-03-01
147,487.0,477.0,495.0,141.0,262917.98,221700.71,8.23,2022-04-01
148,531.0,514.0,596.0,141.1,261644.65,223766.76,8.27,2022-05-01
149,586.0,574.0,685.0,141.2,260371.32,225832.8,8.31,2022-06-01
150,434.0,430.0,547.0,141.3,259097.99,227898.85,8.35,2022-07-01
151,422.0,419.0,526.0,141.4,257824.66,229964.9,8.39,2022-08-01
152,433.0,431.0,502.0,141.5,256551.33,232030.94,8.43,2022-09-01
153,453.0,451.0,625.0,141.6,255278.0,234096.99,8.48,2022-10-01
154,903.0,895.0,900.0,141.7,254004.67,236163.04,8.6,2022-11-01
